,UNIDAD
0,A¤os
1,A¤os
2,A¤os
3,SIN_DATO
4,A¤os
5,SIN_DATO
6,A¤os
7,A¤os
8,A¤os
9,A¤os
10,A¤os
11,SIN_DATO
12,A¤os
13,SIN_DATO
14,A¤os
15,A¤os
16,SIN_DATO
17,A¤os
18,A¤os
19,SIN_DATO
20,A¤os
21,SIN_DATO
22,A¤os
23,SIN_DATO
24,SIN_DATO
25,A¤os
26,A¤os
27,SIN_DATO
28,A¤os
29,A¤os
30,A¤os
31,SIN_DATO
32,A¤os
33,A¤os
34,A¤os
35,SIN_DATO
36,A¤os
37,A¤os
38,SIN_DATO
39,A¤os
40,A¤os
41,A¤os
42,SIN_DATO
43,A¤os
44,A¤os
45,SIN_DATO
46,A¤os
47,A¤os
48,SIN_DATO
49,A¤os
50,A¤os
51,SIN_DATO
52,SIN_DATO
53,SIN_DATO
54,A¤os
55,SIN_DATO
56,A¤os
57,SIN_DATO
58,A¤os
59,A¤os
60,A¤os
61,A¤os
62,A¤os
63,SIN_DATO
64,SIN_DATO
65,A¤os
66,SIN_DATO
67,A¤os
68,A¤os
69,SIN_DATO
70,A¤os
71,SIN_DATO
72,A¤os
73,SIN_DATO
74,A¤os
75,A¤os
76,A¤os
77,A¤os
78,A¤os
79,A¤os
80,SIN_DATO
81,A¤os
82,A¤os
83,SIN_DATO
84,SIN_DATO
85,A¤os
86,SIN_DATO
87,A¤os
88,SIN_DATO
89,SIN_DATO
90,A¤os
91,A¤os
92,SIN_DATO
93,SIN_DATO
94,A¤os
95,A¤os
96,SIN_DATO
97,A¤os
98,A¤os
99,SIN_DATO
100,SIN_DATO
101,A¤os
102,SIN_DATO
103,A¤os
104,SIN_DATO
105,A¤os
106,SIN_DATO
107,SIN_DATO
108,A¤os
109,A¤os
110,A¤os
111,SIN_DATO
112,A¤os
113,A¤os
114,SIN_DATO
115,A¤os
116,SIN_DATO
117,A¤os
118,SIN_DATO
119,SIN_DATO
120,A¤os
121,SIN_DATO
122,SIN_DATO
123,A¤os
124,SIN_DATO
125,A¤os
126,A¤os
127,SIN_DATO
128,SIN_DATO
129,SIN_DATO
130,SIN_DATO
131,A¤os
132,SIN_DATO
133,SIN_DATO
134,A¤os
135,SIN_DATO
136,SIN_DATO
